sales_date,order_id,customer_name,product_name,category,price,quantity,discount,total,shipping_fee,total_sales,status,shipping_address,city,customer_name_clean,status_clean,shipping_address_clean,city_clean,category_clean
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2025-01-15,ORD00438,Customer_387,Pengupas Buah,Peralatan Masak,28000,1,0,28000,50000,78000,completed,Kelurahan 25, Bekasi,Customer_387,complete,Kelurahan 25,Bekasi,Alat Masak
2025-09-26,ORD07479,Customer_2648,Pengupas Buah,Peralatan Masak,28000,1,0,28000,50000,78000,cancel,Kelurahan 196, Bekasi,Customer_2648,cancel,Kelurahan 196,Bekasi,Alat Masak
2025-11-24,ORD09047,Customer_4873,Pengupas Buah,Peralatan Masak,28000,1,0,28000,50000,78000,cancel,Kelurahan 26, Bekasi,Customer_4873,cancel,Kelurahan 26,Bekasi,Alat Masak
2025-03-02,ORD01695,Customer_4677,Saringan Teh Stainless,Peralatan Minum,35000,1,0,35000,50000,85000,cancel,Kelurahan 173, Bekasi,Customer_4677,cancel,Kelurahan 173,Bekasi,Alat Saji
2025-05-12,ORD03641,Customer_27,Spatula Silikon,Peralatan Masak,35000,1,0,35000,50000,85000,completed,Kelurahan 192, Bekasi,Customer_27,complete,Kelurahan 192,Bekasi,Alat Masak
2025-06-02,ORD04242,Customer_719,Saringan Teh Stainless,Peralatan Minum,35000,1,0,35000,50000,85000,Done,Kelurahan 14, Bekasi,Customer_719,complete,Kelurahan 14,Bekasi,Alat Saji
2025-07-03,ORD05121,Customer_2581,Saringan Teh Stainless,Peralatan Minum,35000,1,0,35000,50000,85000,completed,Kelurahan 6, Bekasi,Customer_2581,complete,Kelurahan 6,Bekasi,Alat Saji
